Exp SciExpeM ID,Experiment Type,Reactor,Target,Fuel 1,Fuel 2,Fuel 3,Phi min,Phi max,Pressure min,Pressure max,Temperature min,Temperature max,Score
3486,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.3,1,1,323,2300,0.885742034
2689,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.79,1.41,0.95,1.05,297,299,0.889890558
3492,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,373,2300,0.910889957
2640,laminar burning velocity measurement,flame,Speed,NH3,,,0.98,1.31,0.9,1.1,372,374,0.816731088
2541,laminar burning velocity measurement,flame,Speed,CH4,,,0.79,1.41,1,1,298,298,0.903818535
3031,laminar burning velocity measurement,flame,Speed,NH3,,,0.7,1.3,2,2,298,2250,0.512442153
3325,laminar burning velocity measurement,flame,Speed,NH3,,,0.8,1.25,1,1,298,2300,0.675518583
3331,laminar burning velocity measurement,flame,Speed,NH3,,,0.7,1.5,1,1,298,2300,0.662594594
2662,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.69,1.61,0.98,1.15,297,299,0.923727017
3530,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,298,2300,0.932952403
2546,laminar burning velocity measurement,flame,Speed,CH4,,,0.85,1.25,3.5,3.5,298,298,0.599897702
3361,laminar burning velocity measurement,flame,Speed,NH3,,,0.9,1.2,3,3,298,2300,0.814214433
3472,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,298,2300,0.912960813
3551,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,448,2300,0.937418934
1027,laminar burning velocity measurement,flame,Speed,H2,,,0.8,4,1,1,413,413,0.976007608
2681,laminar burning velocity measurement,flame,Speed,NH3,,,0.79,1.31,0.95,1.05,422,424,0.898330781
3009,laminar burning velocity measurement,flame,Speed,NH3,,,0.893,1.128,1.013,1.013,298,2300,0.753054217
3510,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,473,2300,0.915716982
3034,laminar burning velocity measurement,flame,Speed,NH3,,,0.7,1.3,15,15,298,2250,0.276987245
2656,laminar burning velocity measurement,flame,Speed,NH3,,,0.8,1.2,2.95,3.05,399,401,0.83204634
2704,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.79,1.41,0.95,1.05,472,474,0.862519666
3484,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,323,2300,0.873160084
2707,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.79,1.41,0.95,1.05,372,374,0.903879252
2634,laminar burning velocity measurement,flame,Speed,NH3,,,0.79,1.31,0.9,1.1,297,299,0.897160937
2695,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.79,1.41,0.95,1.05,322,324,0.906005642
3480,laminar burning velocity measurement,flame,Speed,NH3,H2,,0.8,1.4,1,1,323,2300,0.901711392
