x	C16H10	_uncrel_C16H10	x	C3H4-A	_uncrel_C3H4-A	x	CH4	_uncrel_CH4	x	C2H2	_uncrel_C2H2	x	C6H6	_uncrel_C6H5C2H	x	C12H10	_uncrel_C12H10	x	C14H10	_uncrel_C14H10	x	C13H10	_uncrel_C13H10	x	C15H10	_uncrel_C15H10	x	C7H8	_uncrel_C7H8	x	C6H5C2H	_uncrel_C6H5C2H	x	C10H8	_uncrel_C10H8	x	C12H8	_uncrel_C12H8	x	C10H7CH3	_uncrel_C10H7CH3	x	C14H8	_uncrel_C14H8	x	C9H8	_uncrel_C9H8
1.69E-01	8.88E-07	2.00E+00	1.72E-01	6.96E-02	3.00E-01	2.95E-01	3.14E-05	3.00E-01	2.87E-01	1.51E-04	3.00E-01	2.93E-01	4.77E-05	1.00E+00	2.97E-01	7.13E-07	1.00E+00	3.16E-01	8.21E-07	1.00E+00	3.17E-01	1.01E-06	2.00E+00	3.14E-01	4.72E-07	1.00E+00	3.09E-01	4.90E-06	1.00E+00	3.17E-01	6.67E-06	1.00E+00	3.20E-01	5.67E-06	1.00E+00	3.17E-01	3.03E-06	1.00E+00	3.12E-01	7.19E-07	1.00E+00	3.35E-01	2.29E-06	1.00E+00	3.15E-01	3.79E-06	2.00E+00
2.25E-01	1.03E-06	2.00E+00	2.72E-01	7.42E-02	3.00E-01	3.39E-01	9.02E-05	3.00E-01	3.17E-01	3.90E-04	3.00E-01	3.18E-01	1.10E-04	1.00E+00	3.14E-01	1.55E-06	1.00E+00	3.34E-01	3.88E-06	1.00E+00	3.37E-01	2.85E-06	2.00E+00	3.32E-01	1.00E-06	1.00E+00	3.34E-01	6.72E-06	1.00E+00	3.37E-01	1.72E-05	1.00E+00	3.34E-01	1.27E-05	1.00E+00	3.36E-01	1.08E-05	1.00E+00	3.46E-01	2.42E-06	1.00E+00	3.57E-01	5.33E-06	1.00E+00	3.32E-01	1.20E-05	2.00E+00
2.74E-01	8.97E-07	2.00E+00	2.26E-01	7.19E-02	3.00E-01	3.56E-01	1.37E-04	3.00E-01	3.36E-01	6.84E-04	3.00E-01	3.36E-01	2.59E-04	1.00E+00	3.33E-01	6.17E-06	1.00E+00	3.59E-01	8.81E-06	1.00E+00	3.57E-01	7.31E-06	2.00E+00	3.56E-01	2.76E-06	1.00E+00	3.55E-01	2.52E-05	1.00E+00	3.54E-01	3.47E-05	1.00E+00	3.56E-01	3.49E-05	1.00E+00	3.56E-01	2.30E-05	1.00E+00	3.53E-01	5.62E-06	1.00E+00	3.76E-01	8.28E-06	1.00E+00	3.53E-01	2.78E-05	2.00E+00
2.98E-01	7.58E-07	2.00E+00	2.94E-01	7.20E-02	3.00E-01	3.75E-01	2.02E-04	3.00E-01	3.55E-01	1.09E-03	3.00E-01	3.54E-01	5.39E-04	1.00E+00	3.52E-01	1.21E-05	1.00E+00	3.77E-01	1.53E-05	1.00E+00	3.75E-01	1.42E-05	2.00E+00	3.75E-01	5.94E-06	1.00E+00	3.73E-01	4.51E-05	1.00E+00	3.78E-01	5.93E-05	1.00E+00	3.76E-01	5.78E-05	1.00E+00	3.77E-01	3.65E-05	1.00E+00	3.73E-01	9.99E-06	1.00E+00	3.96E-01	1.14E-05	1.00E+00	3.74E-01	4.67E-05	2.00E+00
3.18E-01	1.15E-06	2.00E+00	3.29E-01	7.35E-02	3.00E-01	3.93E-01	2.87E-04	3.00E-01	3.72E-01	1.77E-03	3.00E-01	3.77E-01	8.13E-04	1.00E+00	3.74E-01	2.03E-05	1.00E+00	3.95E-01	2.19E-05	1.00E+00	4.01E-01	1.81E-05	2.00E+00	3.95E-01	7.30E-06	1.00E+00	3.98E-01	6.38E-05	1.00E+00	4.00E-01	7.45E-05	1.00E+00	3.99E-01	7.54E-05	1.00E+00	3.97E-01	5.53E-05	1.00E+00	3.94E-01	1.12E-05	1.00E+00	4.18E-01	1.27E-05	1.00E+00	3.94E-01	6.82E-05	2.00E+00
3.34E-01	2.81E-06	2.00E+00	3.20E-01	7.08E-02	3.00E-01	4.18E-01	3.83E-04	3.00E-01	3.99E-01	2.58E-03	3.00E-01	3.96E-01	1.07E-03	1.00E+00	3.95E-01	2.80E-05	1.00E+00	4.17E-01	2.32E-05	1.00E+00	4.18E-01	1.97E-05	2.00E+00	4.11E-01	9.91E-06	1.00E+00	4.17E-01	7.36E-05	1.00E+00	4.19E-01	8.69E-05	1.00E+00	4.15E-01	8.28E-05	1.00E+00	4.16E-01	5.23E-05	1.00E+00	4.10E-01	1.49E-05	1.00E+00	4.39E-01	7.02E-06	1.00E+00	4.13E-01	8.21E-05	2.00E+00
3.55E-01	6.27E-06	2.00E+00	3.49E-01	7.05E-02	3.00E-01	4.37E-01	4.68E-04	3.00E-01	4.18E-01	3.49E-03	3.00E-01	4.16E-01	1.29E-03	1.00E+00	4.07E-01	3.08E-05	1.00E+00	4.38E-01	2.31E-05	1.00E+00	4.37E-01	2.20E-05	2.00E+00	4.30E-01	9.48E-06	1.00E+00	4.33E-01	9.23E-05	1.00E+00	4.41E-01	9.26E-05	1.00E+00	4.38E-01	9.13E-05	1.00E+00	4.36E-01	6.08E-05	1.00E+00	4.31E-01	1.61E-05	1.00E+00	4.58E-01	1.19E-05	1.00E+00	4.30E-01	8.78E-05	2.00E+00
3.75E-01	1.03E-05	2.00E+00	3.71E-01	7.11E-02	3.00E-01	4.57E-01	5.14E-04	3.00E-01	4.36E-01	4.56E-03	3.00E-01	4.32E-01	1.46E-03	1.00E+00	4.32E-01	3.16E-05	1.00E+00	4.58E-01	1.91E-05	1.00E+00	4.60E-01	2.10E-05	2.00E+00	4.54E-01	9.39E-06	1.00E+00	4.54E-01	9.43E-05	1.00E+00	4.59E-01	8.78E-05	1.00E+00	4.60E-01	8.31E-05	1.00E+00	4.56E-01	5.72E-05	1.00E+00	4.55E-01	1.60E-05	1.00E+00	4.80E-01	1.15E-05	1.00E+00	4.55E-01	8.84E-05	2.00E+00
4.01E-01	1.25E-05	2.00E+00	3.98E-01	7.11E-02	3.00E-01	4.75E-01	5.89E-04	3.00E-01	4.56E-01	5.26E-03	3.00E-01	4.58E-01	1.43E-03	1.00E+00	4.52E-01	2.88E-05	1.00E+00	4.77E-01	1.84E-05	1.00E+00	4.77E-01	1.97E-05	2.00E+00	4.70E-01	9.52E-06	1.00E+00	4.81E-01	9.75E-05	1.00E+00	4.82E-01	8.94E-05	1.00E+00	4.77E-01	8.09E-05	1.00E+00	4.79E-01	5.20E-05	1.00E+00	4.71E-01	1.51E-05	1.00E+00	4.92E-01	9.81E-06	1.00E+00	4.73E-01	9.22E-05	2.00E+00
4.17E-01	1.47E-05	2.00E+00	4.19E-01	6.46E-02	3.00E-01	4.90E-01	6.05E-04	3.00E-01	4.72E-01	6.27E-03	3.00E-01	4.74E-01	1.46E-03	1.00E+00	4.74E-01	2.45E-05	1.00E+00	4.96E-01	1.70E-05	1.00E+00	4.97E-01	1.77E-05	2.00E+00	4.87E-01	8.79E-06	1.00E+00	4.93E-01	9.25E-05	1.00E+00	5.00E-01	8.30E-05	1.00E+00	4.96E-01	7.52E-05	1.00E+00	4.95E-01	4.61E-05	1.00E+00	4.90E-01	1.45E-05	1.00E+00	5.39E-01	9.90E-06	1.00E+00	4.88E-01	9.44E-05	2.00E+00
