t           C6H5OH	     t       	CO        	t      	    CO2	           t       	C2H2       	t          	C4H6       	t          	C5H6       	t	         C6H6        	t      	C10H8      	t          	C3H4           	t          	CH4		
3.71E-03	3.88E-04	3.71E-03	2.97E-04	3.71E-03	1.13E-04	3.71E-03	1.87E-05	3.71E-03	1.21E-05	3.71E-03	1.33E-05	3.71E-03	5.20E-06	3.71E-03	2.60E-06	3.71E-03	3.08E-06	2.46E-02	6.26E-06		
8.00E-03	3.72E-04	8.00E-03	3.38E-04	8.00E-03	1.20E-04	8.00E-03	2.44E-05	8.00E-03	1.52E-05	8.00E-03	1.71E-05	8.00E-03	7.04E-06	8.00E-03	3.23E-06	8.00E-03	5.55E-06	3.32E-02	7.65E-06		
1.42E-02	3.54E-04	1.42E-02	3.77E-04	1.42E-02	1.20E-04	1.42E-02	2.90E-05	1.42E-02	1.82E-05	1.42E-02	2.00E-05	1.42E-02	8.88E-06	1.42E-02	3.70E-06	1.42E-02	6.61E-06	4.29E-02	8.93E-06		
2.46E-02	3.33E-04	2.46E-02	4.46E-04	2.46E-02	1.26E-04	2.46E-02	3.41E-05	2.46E-02	2.13E-05	2.46E-02	2.32E-05	2.46E-02	1.10E-05	2.46E-02	4.19E-06	2.46E-02	7.76E-06	5.23E-02	9.68E-06		
3.32E-02	3.19E-04	3.32E-02	4.80E-04	3.32E-02	1.24E-04	3.32E-02	3.85E-05	3.32E-02	2.35E-05	3.32E-02	2.52E-05	3.32E-02	1.26E-05	3.32E-02	4.41E-06	3.32E-02	8.60E-06	6.19E-02	1.18E-05		
4.29E-02	3.03E-04	4.29E-02	5.26E-04	4.29E-02	1.29E-04	4.29E-02	4.46E-05	4.29E-02	2.53E-05	4.29E-02	2.58E-05	4.29E-02	1.41E-05	4.29E-02	4.41E-06	4.29E-02	9.33E-06	6.99E-02	1.36E-05		
5.23E-02	2.90E-04	5.23E-02	5.68E-04	5.23E-02	1.31E-04	5.23E-02	4.97E-05	5.23E-02	2.73E-05	5.23E-02	2.67E-05	5.23E-02	1.61E-05	5.23E-02	4.74E-06	5.23E-02	9.96E-06	8.00E-02	1.57E-05		
6.19E-02	2.77E-04	6.19E-02	6.16E-04	6.19E-02	1.33E-04	6.19E-02	5.47E-05	6.19E-02	2.84E-05	6.19E-02	2.73E-05	6.19E-02	1.76E-05	6.19E-02	4.54E-06	6.19E-02	1.07E-05	8.92E-02	1.64E-05		
6.99E-02	2.55E-04	6.99E-02	6.71E-04	6.99E-02	1.40E-04	6.99E-02	6.20E-05	6.99E-02	3.00E-05	6.99E-02	2.83E-05	6.99E-02	1.98E-05	6.99E-02	5.12E-06	6.99E-02	1.12E-05	9.85E-02	1.83E-05		
8.00E-02	2.38E-04	8.00E-02	7.38E-04	8.00E-02	1.47E-04	8.00E-02	6.88E-05	8.00E-02	3.10E-05	8.00E-02	2.83E-05	8.00E-02	2.18E-05	8.00E-02	4.63E-06	8.00E-02	1.17E-05	1.07E-01	2.12E-05		
8.92E-02	2.33E-04	8.92E-02	7.66E-04	8.92E-02	1.45E-04	8.92E-02	7.30E-05	8.92E-02	3.01E-05	8.92E-02	2.63E-05	8.92E-02	2.21E-05	8.92E-02	4.52E-06	8.92E-02	1.28E-05	1.16E-01	2.45E-05		
9.85E-02	2.13E-04	9.85E-02	8.39E-04	9.85E-02	1.59E-04	9.85E-02	8.20E-05	9.85E-02	3.16E-05	9.85E-02	2.68E-05	9.85E-02	2.47E-05	9.85E-02	4.63E-06	9.85E-02	1.37E-05	1.26E-01	2.57E-05		
1.07E-01	1.95E-04	1.07E-01	9.03E-04	1.07E-01	1.66E-04	1.07E-01	9.16E-05	1.07E-01	3.10E-05	1.07E-01	2.55E-05	1.07E-01	2.63E-05	1.07E-01	3.94E-06	1.07E-01	1.38E-05				
1.16E-01	1.64E-04	1.16E-01	1.02E-03	1.16E-01	1.89E-04	1.16E-01	1.03E-04	1.16E-01	2.91E-05	1.16E-01	2.22E-05	1.16E-01	2.82E-05	1.16E-01	3.16E-06	1.16E-01	1.35E-05				
1.26E-01	1.46E-04	1.26E-01	1.08E-03	1.26E-01	2.05E-04	1.26E-01	1.13E-04	1.26E-01	2.99E-05	1.26E-01	2.39E-05	1.26E-01	3.02E-05	1.26E-01	4.12E-06	1.26E-01	1.37E-05				
