T	P-XYLENE	T	O2	T	CO	T	CO2	T	CH4	T	C2H4	T	C2H2	T	C2H6	T	C3H6	T	C3H4-A	T	C3H4-P	T	CH3CHO	T	C4H8-1	T	C4H6	T	FURAN	T	C2H3CHO	T	CH3COCH3	T	C5H6	T	LC5H8	T	IC3H5CHO	T	CYC6H8	T	C6H6	T	C7H8	T	C6H5C2H5	T	CUMENE	T	C6H5CHO	T	P-CH3C6H4C2H5	T	C6H5OH	T	P-CH3C6H4C2H3	T	BZFUR	T	C9H8	T	P-HOC6H4CHO	T	P-CH3C6H4CHO
6.00E+02	4.64E-03	6.00E+02	1.05E-01	6.00E+02	0.00E+00	6.00E+02	1.23E-05	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	3.66E-06	6.00E+02	1.44E-06	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	0.00E+00	6.00E+02	4.20E-06
6.25E+02	5.25E-03	6.25E+02	1.05E-01	6.25E+02	1.51E-05	6.25E+02	1.63E-05	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	3.92E-06	6.25E+02	2.10E-06	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	0.00E+00	6.25E+02	5.31E-06
6.50E+02	4.95E-03	6.50E+02	1.06E-01	6.50E+02	1.01E-05	6.50E+02	5.15E-05	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	3.92E-06	6.50E+02	1.66E-06	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	0.00E+00	6.50E+02	3.32E-06
6.75E+02	4.91E-03	6.75E+02	1.06E-01	6.75E+02	2.12E-05	6.75E+02	8.38E-05	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	3.79E-06	6.75E+02	1.88E-06	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	0.00E+00	6.75E+02	2.21E-06
7.00E+02	4.99E-03	7.00E+02	1.06E-01	7.00E+02	2.52E-05	7.00E+02	1.83E-04	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	3.66E-06	7.00E+02	1.77E-06	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	0.00E+00	7.00E+02	7.74E-07
7.25E+02	4.89E-03	7.25E+02	1.03E-01	7.25E+02	4.04E-05	7.25E+02	4.95E-04	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	3.95E-06	7.25E+02	1.88E-06	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	0.00E+00	7.25E+02	1.22E-06
7.50E+02	5.02E-03	7.50E+02	1.05E-01	7.50E+02	5.66E-05	7.50E+02	5.75E-04	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	3.97E-06	7.50E+02	1.66E-06	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	0.00E+00	7.50E+02	1.33E-06
7.75E+02	5.17E-03	7.75E+02	1.04E-01	7.75E+02	1.11E-04	7.75E+02	7.70E-04	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	3.87E-06	7.75E+02	1.77E-06	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	0.00E+00	7.75E+02	1.91E-06
8.00E+02	5.17E-03	8.00E+02	1.09E-01	8.00E+02	1.21E-04	8.00E+02	1.17E-03	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	4.23E-06	8.00E+02	1.70E-06	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	0.00E+00	8.00E+02	1.93E-06
8.25E+02	4.86E-03	8.25E+02	1.03E-01	8.25E+02	1.56E-04	8.25E+02	1.50E-03	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	4.61E-06	8.25E+02	1.77E-06	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	0.00E+00	8.25E+02	1.30E-06
