X                   AR                  X                   H2                  X                   H2O                 X                   CO                  X                   O2                  X                   CO2                 X                   CYC5H8              X                   CH3                 X                   CH4                 X                   C2H2                X                   C2H3                X                   C2H4                X                   C3H2                X                   C3H3                X                   C3H4-A              X                   C3H4-P              X                   C3H5-A              X                   C4H2                X                   C4H3                X                   C4H4-VAC             X                  C4H4-BTR            X                   C4H5                X                   C4H6-1              X                   C4H6                X                   C4H8-1              X                   C4H8-2              X                   C5H5                X                   C5H6                X                   LC5H8-13			  X                 LC5H3-124+LC5H3-24  X                   LC5H4-124           X                   LC5H4-13            X                   CYC5H7               X                  C6H2                X                   CYC6H4                X                   C6H5                X                 FULVENE              X                   C6H6               X                   CYC6H8                X                 CYC6H10               X                 HCO+C2H5             X                   CH2O                X                  CH2CO               X                   CH3CHO              X                   CH2CHOH             X                   C6H5OH              X                   C7H6                X                   C7H7                X                   C7H8                X                   P-XYLENE               
0.0e+00             2.0e-01             0.0e+00             0.0e+00             0.0e+00             2.0e-02             0.0e+00             0.0e+00             0.0e+00             4.5e-01             0.0e+00             0.0e+00             0.0e+00             1.0e-01             0.0e+00             1.0e-04             0.0e+00             2.0e-03             0.0e+00             5.0e-03             0.0e+00             2.0e-05             0.0e+00             1.0e-03             0.0e+00             1.0e-05             0.0e+00             5.0e-04             0.0e+00             4.0e-04             0.0e+00             9.0e-04             0.0e+00             2.0e-04             0.0e+00             5.0e-04             0.0e+00             2.0e-05             0.0e+00             3.0e-04             0.0e+00             1.5e-04             0.0e+00             2.0e-05             0.0e+00             5.0e-04             0.0e+00             1.5e-03             0.0e+00             1.2e-03             0.0e+00             3.5e-04             0.0e+00             1.0e-04             0.0e+00             1.0e-02             0.0e+00             5.0e-04             0.0e+00             2.0e-05             0.0e+00             2.0e-05             0.0e+00             2.0e-05             0.0e+00             6.0e-05             0.0e+00             3.0e-05             0.0e+00             2.0e-05             0.0e+00             5.0e-06             0.0e+00             6.0e-05             0.0e+00             6.0e-04             0.0e+00             2.0e-04             0.0e+00             5.0e-05             0.0e+00             2.0e-05             0.0e+00             1.2e-03             0.0e+00             2.5e-03             0.0e+00             5.0e-05             0.0e+00             3.0e-05             0.0e+00             2.0e-05             0.0e+00             1.0e-05             0.0e+00             0.0e+00             0.0e+00             3.0e-05             0.0e+00             6.0e-05             
5.0e-01             1.9e-01             5.0e-01             5.0e-02             5.0e-01             3.0e-02             5.0e-01             5.0e-02             5.0e-01             4.0e-01             5.0e-01             1.0e-02             5.0e-01             8.0e-02             5.0e-01             1.5e-04             5.0e-01             2.2e-03             5.0e-01             1.0e-02             5.0e-01             5.0e-05             5.0e-01             2.0e-03             5.0e-01             1.5e-05             5.0e-01             7.0e-04             5.0e-01             4.5e-04             5.0e-01             1.0e-03             5.0e-01             3.0e-04             5.0e-01             7.0e-04             5.0e-01             3.0e-05             5.0e-01             4.0e-04             5.0e-01             2.0e-04             5.0e-01             3.0e-05             5.0e-01             6.0e-04             5.0e-01             1.6e-03             5.0e-01             1.2e-03             5.0e-01             3.7e-04             5.0e-01             1.5e-04             5.0e-01             1.1e-02             5.0e-01             7.0e-04             5.0e-01             3.0e-05             5.0e-01             3.0e-05             5.0e-01             2.5e-05             5.0e-01             6.5e-05             5.0e-01             4.0e-05             5.0e-01             3.0e-05             5.0e-01             8.0e-06             5.0e-01             8.0e-05             5.0e-01             7.0e-04             5.0e-01             2.5e-04             5.0e-01             8.0e-05             5.0e-01             3.0e-05             5.0e-01             1.5e-03             5.0e-01             2.8e-03             5.0e-01             6.0e-05             5.0e-01             4.0e-05             5.0e-01             3.0e-05             5.0e-01             1.2e-05             5.0e-01             2.0e-06             5.0e-01             3.5e-05             5.0e-01             6.0e-05             
1.0e+00             1.8e-01             1.0e+00             1.0e-01             1.0e+00             5.0e-02             1.0e+00             1.5e-01             1.0e+00             3.0e-01             1.0e+00             2.0e-02             1.0e+00             6.0e-02             1.0e+00             2.0e-04             1.0e+00             2.5e-03             1.0e+00             1.5e-02             1.0e+00             8.0e-05             1.0e+00             4.0e-03             1.0e+00             2.0e-05             1.0e+00             1.0e-03             1.0e+00             5.0e-04             1.0e+00             1.2e-03             1.0e+00             4.0e-04             1.0e+00             1.0e-03             1.0e+00             4.0e-05             1.0e+00             6.0e-04             1.0e+00             2.5e-04             1.0e+00             4.0e-05             1.0e+00             8.0e-04             1.0e+00             1.8e-03             1.0e+00             1.3e-03             1.0e+00             4.0e-04             1.0e+00             2.0e-04             1.0e+00             1.2e-02             1.0e+00             1.0e-03             1.0e+00             4.0e-05             1.0e+00             4.0e-05             1.0e+00             3.0e-05             1.0e+00             7.0e-05             1.0e+00             5.0e-05             1.0e+00             4.0e-05             1.0e+00             1.0e-05             1.0e+00             1.0e-04             1.0e+00             8.0e-04             1.0e+00             3.0e-04             1.0e+00             1.0e-04             1.0e+00             4.0e-05             1.0e+00             1.8e-03             1.0e+00             3.2e-03             1.0e+00             7.0e-05             1.0e+00             5.0e-05             1.0e+00             4.0e-05             1.0e+00             1.5e-05             1.0e+00             4.0e-06             1.0e+00             4.0e-05             1.0e+00             6.0e-05             
1.5e+00             1.6e-01             1.5e+00             1.5e-01             1.5e+00             8.0e-02             1.5e+00             2.5e-01             1.5e+00             2.5e-01             1.5e+00             3.0e-02             1.5e+00             4.0e-02             1.5e+00             4.0e-04             1.5e+00             3.0e-03             1.5e+00             2.2e-02             1.5e+00             1.5e-04             1.5e+00             8.0e-03             1.5e+00             3.0e-05             1.5e+00             1.8e-03             1.5e+00             6.0e-04             1.5e+00             1.4e-03             1.5e+00             6.0e-04             1.5e+00             1.5e-03             1.5e+00             6.0e-05             1.5e+00             8.0e-04             1.5e+00             3.5e-04             1.5e+00             6.0e-05             1.5e+00             9.0e-04             1.5e+00             2.0e-03             1.5e+00             1.4e-03             1.5e+00             4.5e-04             1.5e+00             3.0e-04             1.5e+00             1.3e-02             1.5e+00             1.5e-03             1.5e+00             5.0e-05             1.5e+00             7.0e-05             1.5e+00             3.5e-05             1.5e+00             7.5e-05             1.5e+00             1.5e-04             1.5e+00             8.0e-05             1.5e+00             1.5e-05             1.5e+00             1.5e-04             1.5e+00             9.0e-04             1.5e+00             3.5e-04             1.5e+00             1.2e-04             1.5e+00             5.0e-05             1.5e+00             2.0e-03             1.5e+00             3.6e-03             1.5e+00             8.0e-05             1.5e+00             6.0e-05             1.5e+00             5.0e-05             1.5e+00             1.8e-05             1.5e+00             6.0e-06             1.5e+00             5.0e-05             1.5e+00             5.5e-05             
2.0e+00             1.5e-01             2.0e+00             2.0e-01             2.0e+00             1.1e-01             2.0e+00             3.2e-01             2.0e+00             2.0e-01             2.0e+00             4.0e-02             2.0e+00             2.0e-02             2.0e+00             8.0e-04             2.0e+00             3.5e-03             2.0e+00             3.0e-02             2.0e+00             2.0e-04             2.0e+00             1.1e-02             2.0e+00             5.0e-05             2.0e+00             2.5e-03             2.0e+00             8.0e-04             2.0e+00             1.6e-03             2.0e+00             8.0e-04             2.0e+00             2.0e-03             2.0e+00             8.0e-05             2.0e+00             1.0e-03             2.0e+00             4.0e-04             2.0e+00             8.0e-05             2.0e+00             1.0e-03             2.0e+00             2.2e-03             2.0e+00             1.5e-03             2.0e+00             5.0e-04             2.0e+00             4.0e-04             2.0e+00             1.5e-02             2.0e+00             2.0e-03             2.0e+00             6.0e-05             2.0e+00             1.0e-04             2.0e+00             4.0e-05             2.0e+00             8.0e-05             2.0e+00             3.0e-04             2.0e+00             1.5e-04             2.0e+00             2.0e-05             2.0e+00             2.5e-04             2.0e+00             1.0e-03             2.0e+00             4.0e-04             2.0e+00             1.5e-04             2.0e+00             6.0e-05             2.0e+00             2.2e-03             2.0e+00             4.0e-03             2.0e+00             1.0e-04             2.0e+00             7.0e-05             2.0e+00             6.0e-05             2.0e+00             2.0e-05             2.0e+00             8.0e-06             2.0e+00             6.0e-05             2.0e+00             5.0e-05             
2.5e+00             1.4e-01             2.5e+00             2.2e-01             2.5e+00             1.3e-01             2.5e+00             3.6e-01             2.5e+00             1.5e-01             2.5e+00             5.0e-02             2.5e+00             1.0e-02             2.5e+00             1.2e-03             2.5e+00             4.0e-03             2.5e+00             3.7e-02             2.5e+00             2.3e-04             2.5e+00             1.2e-02             2.5e+00             8.0e-05             2.5e+00             3.2e-03             2.5e+00             9.0e-04             2.5e+00             2.0e-03             2.5e+00             9.0e-04             2.5e+00             2.5e-03             2.5e+00             9.0e-05             2.5e+00             1.3e-03             2.5e+00             4.5e-04             2.5e+00             9.0e-05             2.5e+00             1.3e-03             2.5e+00             2.0e-03             2.5e+00             1.1e-03             2.5e+00             3.5e-04             2.5e+00             6.0e-04             2.5e+00             1.6e-02             2.5e+00             2.3e-03             2.5e+00             8.0e-05             2.5e+00             1.2e-04             2.5e+00             5.0e-05             2.5e+00             7.0e-05             2.5e+00             4.5e-04             2.5e+00             2.0e-04             2.5e+00             2.5e-05             2.5e+00             4.0e-04             2.5e+00             1.1e-03             2.5e+00             3.5e-04             2.5e+00             1.0e-04             2.5e+00             7.0e-05             2.5e+00             2.4e-03             2.5e+00             4.3e-03             2.5e+00             1.1e-04             2.5e+00             8.0e-05             2.5e+00             5.0e-05             2.5e+00             2.5e-05             2.5e+00             1.0e-05             2.5e+00             7.0e-05             2.5e+00             4.0e-05             
3.0e+00             1.4e-01             3.0e+00             2.4e-01             3.0e+00             1.4e-01             3.0e+00             3.8e-01             3.0e+00             1.0e-01             3.0e+00             6.0e-02             3.0e+00             5.0e-03             3.0e+00             1.5e-03             3.0e+00             4.5e-03             3.0e+00             4.0e-02             3.0e+00             2.5e-04             3.0e+00             1.0e-02             3.0e+00             1.0e-04             3.0e+00             3.5e-03             3.0e+00             1.0e-03             3.0e+00             2.2e-03             3.0e+00             1.0e-03             3.0e+00             2.8e-03             3.0e+00             1.0e-04             3.0e+00             1.5e-03             3.0e+00             5.0e-04             3.0e+00             1.0e-04             3.0e+00             1.5e-03             3.0e+00             1.5e-03             3.0e+00             8.0e-04             3.0e+00             2.5e-04             3.0e+00             8.0e-04             3.0e+00             1.7e-02             3.0e+00             2.5e-03             3.0e+00             1.0e-04             3.0e+00             1.4e-04             3.0e+00             6.0e-05             3.0e+00             6.0e-05             3.0e+00             5.0e-04             3.0e+00             2.2e-04             3.0e+00             1.0e-05             3.0e+00             6.0e-04             3.0e+00             1.2e-03             3.0e+00             3.0e-04             3.0e+00             5.0e-05             3.0e+00             8.0e-05             3.0e+00             2.6e-03             3.0e+00             4.6e-03             3.0e+00             1.2e-04             3.0e+00             7.0e-05             3.0e+00             4.0e-05             3.0e+00             3.0e-05             3.0e+00             1.2e-05             3.0e+00             8.5e-05             3.0e+00             3.0e-05             
3.5e+00             1.3e-01             3.5e+00             2.5e-01             3.5e+00             1.5e-01             3.5e+00             3.9e-01             3.5e+00             7.0e-02             3.5e+00             6.5e-02             3.5e+00             0.0e+00             3.5e+00             1.3e-03             3.5e+00             3.8e-03             3.5e+00             3.2e-02             3.5e+00             2.0e-04             3.5e+00             8.0e-03             3.5e+00             1.3e-04             3.5e+00             3.3e-03             3.5e+00             9.0e-04             3.5e+00             1.8e-03             3.5e+00             8.0e-04             3.5e+00             2.2e-03             3.5e+00             7.0e-05             3.5e+00             1.1e-03             3.5e+00             3.5e-04             3.5e+00             7.0e-05             3.5e+00             1.1e-03             3.5e+00             1.1e-03             3.5e+00             6.0e-04             3.5e+00             0.0e+00             3.5e+00             9.0e-04             3.5e+00             1.5e-02             3.5e+00             2.0e-03             3.5e+00             8.0e-05             3.5e+00             1.1e-04             3.5e+00             5.0e-05             3.5e+00             4.0e-05             3.5e+00             2.5e-04             3.5e+00             1.5e-04             3.5e+00             5.0e-06             3.5e+00             4.0e-04             3.5e+00             1.0e-03             3.5e+00             2.5e-04             3.5e+00             0.0e+00             3.5e+00             6.0e-05             3.5e+00             2.0e-03             3.5e+00             4.2e-03             3.5e+00             9.0e-05             3.5e+00             5.0e-05             3.5e+00             2.0e-05             3.5e+00             4.0e-05             3.5e+00             1.0e-05             3.5e+00             6.5e-05             3.5e+00             2.0e-05             
4.0e+00             1.3e-01             4.0e+00             2.6e-01             4.0e+00             1.5e-01             4.0e+00             4.0e-01             4.0e+00             5.0e-02             4.0e+00             7.0e-02             4.0e+00             0.0e+00             4.0e+00             1.0e-03             4.0e+00             3.0e-03             4.0e+00             2.5e-02             4.0e+00             1.5e-04             4.0e+00             6.0e-03             4.0e+00             1.5e-04             4.0e+00             3.0e-03             4.0e+00             8.0e-04             4.0e+00             1.5e-03             4.0e+00             7.0e-04             4.0e+00             1.5e-03             4.0e+00             5.0e-05             4.0e+00             8.0e-04             4.0e+00             2.5e-04             4.0e+00             4.0e-05             4.0e+00             8.0e-04             4.0e+00             8.0e-04             4.0e+00             4.0e-04             4.0e+00             0.0e+00             4.0e+00             7.0e-04             4.0e+00             1.2e-02             4.0e+00             1.5e-03             4.0e+00             6.0e-05             4.0e+00             8.0e-05             4.0e+00             4.0e-05             4.0e+00             3.0e-05             4.0e+00             1.0e-04             4.0e+00             8.0e-05             4.0e+00             0.0e+00             4.0e+00             2.0e-04             4.0e+00             8.0e-04             4.0e+00             2.0e-04             4.0e+00             0.0e+00             4.0e+00             4.0e-05             4.0e+00             1.5e-03             4.0e+00             3.0e-03             4.0e+00             6.0e-05             4.0e+00             3.0e-05             4.0e+00             0.0e+00             4.0e+00             5.0e-05             4.0e+00             8.0e-06             4.0e+00             4.0e-05             4.0e+00             1.0e-05             
4.5e+00             1.3e-01             4.5e+00             2.6e-01             4.5e+00             1.5e-01             4.5e+00             4.0e-01             4.5e+00             4.0e-02             4.5e+00             7.0e-02             4.5e+00             0.0e+00             4.5e+00             8.0e-04             4.5e+00             2.5e-03             4.5e+00             2.2e-02             4.5e+00             1.0e-04             4.5e+00             4.0e-03             4.5e+00             1.2e-04             4.5e+00             2.2e-03             4.5e+00             6.0e-04             4.5e+00             1.1e-03             4.5e+00             5.0e-04             4.5e+00             1.0e-03             4.5e+00             2.0e-05             4.5e+00             5.0e-04             4.5e+00             1.5e-04             4.5e+00             0.0e+00             4.5e+00             5.0e-04             4.5e+00             5.0e-04             4.5e+00             0.0e+00             4.5e+00             0.0e+00             4.5e+00             4.0e-04             4.5e+00             8.0e-03             4.5e+00             1.0e-03             4.5e+00             4.0e-05             4.5e+00             4.0e-05             4.5e+00             2.5e-05             4.5e+00             0.0e+00             4.5e+00             5.0e-05             4.5e+00             4.0e-05             4.5e+00             0.0e+00             4.5e+00             1.0e-04             4.5e+00             6.0e-04             4.5e+00             1.0e-04             4.5e+00             0.0e+00             4.5e+00             2.0e-05             4.5e+00             1.2e-03             4.5e+00             2.0e-03             4.5e+00             4.0e-05             4.5e+00             1.0e-05             4.5e+00             0.0e+00             4.5e+00             4.5e-05             4.5e+00             4.0e-06             4.5e+00             2.0e-05             4.5e+00             0.0e+00             
